# translation_extract.txt - user-visible Chinese in .kt / .xml / string resources
# Format: unique_id | chinese_string | file:line
# Excludes: // comment-only lines, Log/println/Timber, package/import lines.
# LocalizedStrings.kt: id is i18n_<key> (same-line zh branch or block if (zh) { multiline }).

i18n_close | 关闭 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:106
i18n_privacy_policy_body | 欢迎使用 Kairos。我们重视您的隐私。本应用当前在本地处理您的笔记、任务与心情数据。详细政策将在后续版本完善。 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:108
i18n_no_mail_app | 未找到邮件应用 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:112
i18n_version_prefix | 版本  | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:113
i18n_recommend_kairos | 推荐应用 Kairos： | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:114
i18n_dev_in_widget | 此功能正在开发中 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:115
i18n_widget_quote_default | 纵有疾风起，人生不言弃 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:116
i18n_widget_quote_prefix | 今日一句： | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:117
i18n_widget_main_tab_small | 小 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:118
i18n_widget_main_tab_medium | 中 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:119
i18n_widget_main_tab_large | 大 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:120
i18n_widget_main_tab_super | 超大 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:121
i18n_widget_main_no_tasks | 暂无今日任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:122
i18n_widget_main_week_row | 一 二 三 四 五 六 日 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:123
i18n_widget_main_today_tasks | 今日任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:124
i18n_view_tab_today | 今日 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:125
i18n_view_tab_week | 周 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:126
i18n_view_tab_month | 月 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:127
i18n_view_todo_prefix | 待办 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:128
i18n_view_empty_tasks_today | 今天还没有记录 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:129
i18n_view_empty_tasks_other | 暂无任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:130
i18n_view_see_all_more | 查看全部（还有{n}条）→ | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:131
i18n_view_see_all | 查看全部 → | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:132
i18n_view_notes_section | 课题笔记 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:133
i18n_view_empty_notes | （暂无笔记） | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:134
i18n_view_time_anytime | 随时 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:135
i18n_view_time_morning | 上午 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:136
i18n_view_time_afternoon | 下午 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:137
i18n_view_time_evening | 晚间 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:138
i18n_view_week_no_tasks | 暂无任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:139
i18n_view_week_no_notes | 暂无笔记 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:140
i18n_view_week_add_task | + 添加任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:141
i18n_view_week_more_tasks | 还有 {n} 条任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:142
i18n_view_week_this_week |  · 本周 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:143
i18n_view_month_summary | 本月概览 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:144
i18n_view_metric_notes | 笔记 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:145
i18n_view_metric_tasks | 任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:146
i18n_view_metric_done | 完成率 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:147
i18n_view_metric_streak | 连续 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:148
i18n_view_metric_completion_rate | 完成率 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:149
i18n_view_metric_streak_record | 连续记录 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:150
i18n_view_metric_streak_all_tasks | 连续清空任务 | app/src/main/java/com/example/kairosapplication/i18n/LocalizedStrings.kt:151
